"color","spine","width","weight","n.satellites"
"dark","mixed",21,1.85,0
"dark medium","both bad",22,1.4,0
"dark medium","both bad",22.5,1.55,0
"medium","both good",22.5,1.6,1
"dark","both bad",22.5,1.47,4
"medium","both bad",22.9,1.6,4
"medium","both good",22.9,1.6,0
"medium","mixed",22.9,1.6,0
"dark medium","both bad",23,1.65,1
"dark medium","both bad",23,1.8,0
"dark medium","both bad",23.1,1.65,0
"dark medium","both bad",23.1,1.55,0
"medium","both good",23.1,2,0
"medium","mixed",23.2,1.95,4
"dark","both bad",23.4,1.9,0
"dark","both bad",23.5,1.9,0
"dark","both bad",23.7,1.85,0
"dark","both bad",23.7,1.8,0
"medium","both good",23.7,1.95,0
"medium","both bad",23.8,2.1,0
"dark medium","both bad",23.8,1.8,0
"dark medium","both bad",23.8,1.8,6
"medium","both bad",23.9,1.85,2
"medium","mixed",24,1.7,0
"dark medium","both bad",24,1.9,10
"dark medium","both bad",24.1,1.8,0
"dark medium","both bad",24.2,1.9,0
"medium","both bad",24.2,1.65,2
"dark medium","both bad",24.3,2.15,0
"medium","both good",24.3,2,0
"dark medium","both bad",24.5,2.05,5
"medium","both bad",24.5,1.6,1
"dark medium","both bad",24.5,2.2,1
"light medium","mixed",24.5,1.95,6
"dark","both bad",24.5,1.9,0
"dark medium","mixed",24.5,2.25,0
"medium","mixed",24.5,2,0
"dark","both bad",24.7,2.2,0
"dark","both bad",24.7,2.1,5
"dark medium","mixed",24.7,1.9,0
"medium","mixed",24.7,2.55,4
"medium","both bad",24.7,1.95,4
"dark medium","both bad",24.8,2.1,0
"medium","both bad",24.9,2.1,0
"medium","both good",24.9,2.3,6
"medium","both bad",24.9,2.2,0
"light medium","mixed",25,2.3,3
"medium","both bad",25,2.1,2
"dark","both bad",25,2.1,8
"medium","both bad",25,2.4,5
"medium","mixed",25,2.25,6
"medium","both bad",25,2.1,4
"medium","both bad",25.1,2.1,5
"medium","both bad",25.1,1.8,0
"medium","both bad",25.2,2,1
"medium","both good",25.2,2,1
"medium","both bad",25.3,1.9,2
"medium","both bad",25.4,2.25,6
"medium","both bad",25.4,2.25,4
"medium","mixed",25.4,2.3,0
"dark","both bad",25.5,2.25,0
"dark","both good",25.5,2.75,0
"dark medium","both bad",25.5,2.25,0
"dark medium","both bad",25.6,2.15,0
"dark medium","both bad",25.6,2.8,7
"medium","both good",25.7,2,8
"medium","both good",25.7,2,5
"dark medium","both bad",25.7,1.2,0
"dark","both bad",25.7,2.15,0
"medium","mixed",25.7,2,0
"dark medium","both bad",25.7,2.1,0
"dark","both bad",25.8,2.25,10
"medium","both bad",25.8,2.2,0
"medium","both bad",25.8,2.65,0
"light medium","both bad",25.8,2.6,0
"dark","both bad",25.8,2,3
"medium","both bad",25.8,2.3,0
"medium","both bad",25.8,2.4,0
"dark medium","both good",25.9,2.55,4
"dark medium","both bad",26,2.6,4
"medium","both bad",26,2.28,3
"medium","both good",26,2.3,14
"light medium","both good",26,2.3,9
"medium","both bad",26,2.15,5
"dark medium","mixed",26,2.2,3
"light medium","both good",26.1,2.8,5
"dark medium","both bad",26.1,2.75,3
"dark","both bad",26.2,1.3,0
"dark medium","both bad",26.2,2.3,3
"medium","both bad",26.2,2.4,3
"dark medium","both bad",26.2,2.22,0
"medium","both bad",26.2,2.4,0
"medium","both bad",26.2,2.3,0
"dark medium","both bad",26.2,2.17,2
"medium","both bad",26.2,2.02,2
"medium","both bad",26.3,2.4,1
"dark medium","both bad",26.5,1.97,1
"medium","both bad",26.5,2.3,4
"light medium","both good",26.5,2.35,0
"medium","both good",26.5,1.3,0
"medium","both bad",26.5,2.35,4
"medium","both bad",26.5,2.75,7
"medium","both good",26.7,2.7,5
"dark medium","both bad",26.7,2.6,2
"dark","both bad",26.7,2.45,0
"medium","both good",26.8,2.7,5
"medium","both good",26.8,2.55,0
"medium","both bad",26.8,2.65,0
"dark","both bad",27,2.25,3
"dark medium","both good",27,2.45,3
"medium","both bad",27,2.5,6
"dark medium","both bad",27,2.5,6
"dark","both bad",27,2.63,0
"light medium","both good",27.1,2.95,8
"dark medium","both bad",27.1,2.55,0
"dark medium","both bad",27.2,2.4,5
"medium","both bad",27.2,2.7,3
"dark medium","both bad",27.3,2.9,1
"medium","both bad",27.4,2.7,5
"light medium","both good",27.4,2.7,6
"medium","both bad",27.4,2.9,3
"medium","both bad",27.5,3.15,6
"dark","both bad",27.5,2.9,0
"medium","both bad",27.5,2.55,1
"medium","both bad",27.5,2.63,6
"dark","both bad",27.5,2.6,0
"dark medium","both bad",27.5,3.1,3
"medium","both bad",27.6,2.85,4
"light medium","both good",27.7,2.5,6
"medium","both bad",27.7,2.9,5
"medium","both good",27.8,2.75,0
"medium","both bad",27.8,3.25,3
"medium","both bad",27.9,3.05,7
"medium","both bad",27.9,2.8,6
"light medium","both good",28,2.62,0
"medium","both bad",28,2.8,1
"medium","both good",28,2.9,4
"medium","both bad",28.2,2.6,6
"medium","both bad",28.2,3.05,8
"medium","both bad",28.2,3.05,11
"medium","both bad",28.2,2.87,1
"medium","both bad",28.3,3.05,8
"medium","both bad",28.3,3,15
"medium","both bad",28.3,3.2,0
"dark medium","both bad",28.4,3.2,3
"medium","both good",28.4,3.1,5
"medium","both bad",28.5,3.05,0
"dark medium","both bad",28.5,3,1
"dark medium","both good",28.5,3.25,9
"medium","both bad",28.5,3,3
"medium","both good",28.7,3.2,0
"medium","both bad",28.7,3.15,3
"dark medium","both bad",28.9,2.8,4
"medium","both bad",29,3,1
"dark medium","both bad",29,3.28,4
"medium","both bad",29,3.2,10
"dark medium","both bad",29,2.92,3
"medium","both good",29,2.8,1
"medium","both bad",29,3.1,1
"light medium","both good",29.3,3.2,4
"dark","both bad",29.3,3.23,12
"medium","both bad",29.5,3.02,4
"medium","both good",29.7,3.85,5
"dark medium","mixed",29.8,3.5,4
"medium","both bad",30,3.05,8
"medium","both bad",30,3,9
"medium","both good",30,3.3,5
"light medium","both good",30.2,3.28,2
"medium","both good",30.3,3.6,3
"medium","both bad",30.5,3.32,3
"medium","both good",31.7,3.73,4
"medium","both bad",31.9,3.33,2
"medium","both good",33.5,5.2,7
